Year,state,shape,total duration,mean duration,number of sightings
1993,ak,cylindrical,180.0,180.0,1
1993,al,light,60.0,60.0,1
1993,al,triangular,3900.0,1950.0,2
1993,ar,circular,120.0,120.0,1
1993,ar,cylindrical,180.0,180.0,1
1993,az,circular,120.0,120.0,1
1993,az,formation,1800.0,1800.0,1
1993,az,ovoid,60.0,60.0,1
1993,az,polygonal,960.0,480.0,2
1993,az,spherical,30.0,30.0,1
1993,az,triangular,1200.0,600.0,2
1993,az,unknown/other,6312120.0,3156060.0,2
1993,ca,circular,840.0,280.0,3
1993,ca,disk,2160.0,720.0,3
1993,ca,flash,240.0,240.0,1
1993,ca,light,1425.0,356.25,4
1993,ca,ovoid,525.0,175.0,3
1993,ca,polygonal,3300.0,1650.0,2
1993,ca,spherical,660.0,330.0,2
1993,ca,triangular,5285.0,755.0,7
1993,ca,unknown/other,3545.0,709.0,5
1993,co,cylindrical,930.0,465.0,2
1993,co,triangular,60.0,60.0,1
1993,ct,circular,30.0,30.0,1
1993,ct,cylindrical,300.0,300.0,1
1993,ct,light,10.0,10.0,1
1993,ct,polygonal,600.0,600.0,1
1993,de,circular,900.0,900.0,1
1993,de,oviod,3600.0,3600.0,1
1993,fl,light,900.0,900.0,1
1993,fl,spherical,602.0,301.0,2
1993,fl,triangular,1920.0,960.0,2
1993,ga,light,60.0,60.0,1
1993,ga,triangular,120.0,120.0,1
1993,hi,disk,5400.0,5400.0,1
1993,hi,formation,4500.0,4500.0,1
1993,hi,polygonal,4.0,4.0,1
1993,hi,unknown/other,2.0,2.0,1
1993,ia,formation,10.0,10.0,1
1993,ia,polygonal,300.0,300.0,1
1993,id,unknown/other,180.0,180.0,1
1993,il,light,8.0,8.0,1
1993,in,circular,1200.0,600.0,2
1993,in,cylindrical,1800.0,1800.0,1
1993,in,light,240.0,240.0,1
1993,in,ovoid,180.0,180.0,1
1993,in,triangular,2700.0,900.0,3
1993,ks,disk,2700.0,2700.0,1
1993,ks,triangular,300.0,300.0,1
1993,ks,unknown/other,900.0,900.0,1
1993,ky,cylindrical,600.0,600.0,1
1993,ky,disk,40.0,40.0,1
1993,ky,polygonal,300.0,300.0,1
1993,ky,spherical,3600.0,3600.0,1
1993,ky,unknown/other,10.0,10.0,1
1993,la,disk,120.0,120.0,1
1993,la,oviod,1340.0,1340.0,1
1993,la,ovoid,600.0,600.0,1
1993,la,triangular,30.0,30.0,1
1993,ma,oviod,720.0,720.0,1
1993,ma,triangular,930.0,310.0,3
1993,md,light,300.0,300.0,1
1993,md,oviod,180.0,180.0,1
1993,md,triangular,1800.0,1800.0,1
1993,md,unknown/other,32460.0,16230.0,2
1993,me,light,120.0,120.0,1
1993,me,polygonal,600.0,600.0,1
1993,me,unknown/other,10.0,10.0,1
1993,mi,cylindrical,630.0,210.0,3
1993,mi,light,900.0,900.0,1
1993,mi,triangular,60.0,60.0,1
1993,mn,ovoid,5.0,5.0,1
1993,mn,triangular,60.0,60.0,1
1993,mo,light,300.0,300.0,1
1993,mo,triangular,2700.0,2700.0,1
1993,ms,cylindrical,300.0,300.0,1
1993,ms,fireball,5.0,5.0,1
1993,ms,polygonal,60.0,60.0,1
1993,mt,formation,21600.0,21600.0,1
1993,mt,light,1820.0,910.0,2
1993,mt,spherical,30.0,30.0,1
1993,mt,triangular,3600.0,3600.0,1
1993,nc,circular,20.0,20.0,1
1993,nc,formation,432000.0,432000.0,1
1993,nc,ovoid,4.0,4.0,1
1993,nc,spherical,300.0,300.0,1
1993,nc,triangular,1800.0,1800.0,1
1993,nc,unknown/other,780.0,390.0,2
1993,ne,ovoid,30.0,30.0,1
1993,ne,polygonal,360.0,360.0,1
1993,ne,triangular,3600.0,3600.0,1
1993,nh,light,60.0,60.0,1
1993,nh,unknown/other,60.0,60.0,1
1993,nj,circular,105.0,105.0,1
1993,nj,disk,240.0,240.0,1
1993,nm,cylindrical,600.0,600.0,1
1993,nm,light,600.0,600.0,1
1993,nm,triangular,10.0,10.0,1
1993,nv,cylindrical,300.0,300.0,1
1993,nv,formation,45.0,45.0,1
1993,nv,unknown/other,300.0,300.0,1
1993,ny,changing,300.0,300.0,1
1993,ny,circular,120.0,120.0,1
1993,ny,disk,305.0,152.5,2
1993,ny,formation,30.0,30.0,1
1993,ny,light,301.2,150.6,2
1993,ny,polygonal,30.0,30.0,1
1993,ny,spherical,2100.0,2100.0,1
1993,ny,triangular,1807.0,903.5,2
1993,ny,unknown/other,4480.0,746.6666666666666,6
1993,oh,cylindrical,300.0,300.0,1
1993,oh,disk,180.0,180.0,1
1993,oh,formation,120.0,120.0,1
1993,oh,light,10280.0,2056.0,5
1993,oh,ovoid,900.0,900.0,1
1993,oh,spherical,3.0,3.0,1
1993,oh,triangular,1800.0,600.0,3
1993,ok,cylindrical,3600.0,3600.0,1
1993,ok,triangular,300.0,300.0,1
1993,or,light,3600.0,1800.0,2
1993,pa,spherical,15.0,15.0,1
1993,pa,triangular,3540.0,885.0,4
1993,sc,circular,120.0,120.0,1
1993,sc,triangular,600.0,600.0,1
1993,sd,fireball,30.0,30.0,1
1993,tn,fireball,2.0,2.0,1
1993,tn,spherical,300.0,300.0,1
1993,tn,unknown/other,60.0,60.0,1
1993,tx,disk,610.0,305.0,2
1993,tx,light,16200.0,8100.0,2
1993,tx,ovoid,600.0,600.0,1
1993,tx,polygonal,3600.0,3600.0,1
1993,tx,spherical,1215.0,607.5,2
1993,tx,triangular,1200.0,600.0,2
1993,tx,unknown/other,3780.0,945.0,4
1993,ut,ovoid,2.0,2.0,1
1993,va,circular,660.0,220.0,3
1993,va,cylindrical,1800.0,1800.0,1
1993,va,unknown/other,60.0,60.0,1
1993,wa,circular,360.0,180.0,2
1993,wa,cylindrical,2.0,2.0,1
1993,wa,disk,120.0,120.0,1
1993,wa,fireball,2.0,2.0,1
1993,wa,light,1200.0,1200.0,1
1993,wa,polygonal,60.0,60.0,1
1993,wa,spherical,320.0,106.66666666666667,3
1993,wa,triangular,12.0,6.0,2
1993,wa,unknown/other,360.0,180.0,2
1993,wi,disk,120.0,120.0,1
1993,wi,polygonal,3600.0,3600.0,1
1993,wi,triangular,1800.0,600.0,3
1993,wi,unknown/other,180.0,180.0,1
1993,wy,changing,540.0,540.0,1
1993,wy,formation,60.0,60.0,1
1994,ak,light,1200.0,1200.0,1
1994,al,circular,5.0,5.0,1
1994,al,cylindrical,3.0,3.0,1
1994,al,disk,300.0,300.0,1
1994,al,light,1200.0,1200.0,1
1994,al,polygonal,300.0,300.0,1
1994,al,triangular,11520.0,3840.0,3
1994,ar,disk,10.0,10.0,1
1994,ar,fireball,2.0,2.0,1
1994,ar,light,5.0,5.0,1
1994,ar,spherical,300.0,300.0,1
1994,az,ovoid,60.0,60.0,1
1994,az,polygonal,1380.0,690.0,2
1994,az,spherical,1500.0,750.0,2
1994,az,triangular,90.0,90.0,1
1994,ca,circular,420.0,210.0,2
1994,ca,cylindrical,1500.0,750.0,2
1994,ca,disk,4770.0,954.0,5
1994,ca,fireball,14420.0,2884.0,5
1994,ca,flash,35.0,17.5,2
1994,ca,light,10997.3,916.4416666666666,12
1994,ca,ovoid,1200.0,1200.0,1
1994,ca,polygonal,64.0,21.333333333333332,3
1994,ca,spherical,1392.0,348.0,4
1994,ca,triangular,2287.0,254.11111111111111,9
1994,ca,unknown/other,10534020.0,1755670.0,6
1994,co,light,120.0,120.0,1
1994,co,spherical,18000.0,18000.0,1
1994,co,unknown/other,5.0,5.0,1
1994,ct,light,30.0,30.0,1
1994,ct,triangular,300.0,300.0,1
1994,de,spherical,60.0,60.0,1
1994,fl,circular,8400.0,4200.0,2
1994,fl,disk,420.0,210.0,2
1994,fl,light,28800.0,28800.0,1
1994,fl,ovoid,155.0,51.666666666666664,3
1994,fl,polygonal,1500.0,750.0,2
1994,fl,spherical,360.0,180.0,2
1994,fl,unknown/other,1020.0,340.0,3
1994,ga,light,20.0,20.0,1
1994,ga,triangular,600.0,600.0,1
1994,ga,unknown/other,15.0,15.0,1
1994,hi,circular,6.0,6.0,1
1994,hi,cylindrical,10.0,10.0,1
1994,ia,changing,7200.0,7200.0,1
1994,ia,flash,3601.0,1800.5,2
1994,ia,light,5.0,5.0,1
1994,ia,polygonal,2700.0,2700.0,1
1994,ia,unknown/other,60.0,60.0,1
1994,id,changing,600.0,600.0,1
1994,id,disk,5400.0,5400.0,1
1994,id,fireball,10.0,10.0,1
1994,id,triangular,600.0,300.0,2
1994,il,spherical,120.0,120.0,1
1994,il,triangular,300.0,300.0,1
1994,il,unknown/other,900.0,900.0,1
1994,in,disk,300.0,150.0,2
1994,in,polygonal,90.0,90.0,1
1994,in,spherical,90.0,90.0,1
1994,in,triangular,330.0,165.0,2
1994,in,unknown/other,15.0,15.0,1
1994,ks,spherical,1200.0,1200.0,1
1994,ks,triangular,10.0,10.0,1
1994,ky,cylindrical,60.0,60.0,1
